Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Ghana,GHA,0.567159468,0.562627461,0.55820937,0.554428863,0.551009196,0.558845386,0.557563258,0.557136006,0.541069696,0.541488286,0.537692594,0.522059955,0.507914677,0.498657701,0.497052464,0.49646185,0.491321871,0.491321871
Greece,GRC,0.145600533,0.145301286,0.142497974,0.142190597,0.140395415,0.139429502,0.136404222,0.133533412,0.130841471,0.128157654,0.125465707,0.120959937,0.115727502,0.108828397,0.118590025,0.128514256,0.127327264,0.127327264
Grenada,GRD,0.277609512,0.276808675,0.273868,0.265983599,0.263472368,0.261959283,0.260659442,0.273462657,0.258281874,0.261085722,0.261842887,0.267147592,0.265018997,0.266701168,0.26626016,0.268701331,0.263630619,0.263630619
Guatemala,GTM,0.358888981,0.360002201,0.359959703,0.354166366,0.349116996,0.347275994,0.343271347,0.340595761,0.341048642,0.3358433,0.334034769,0.334404302,0.332186111,0.329056019,0.329850128,0.327794242,0.327272651,0.327272651
Guinea,GIN,0.642368263,0.640732835,0.639650639,0.640218928,0.642608355,0.648248482,0.643950394,0.630147353,0.645213724,0.637317364,0.63369604,0.637763647,0.640188691,0.621932965,0.613508912,0.628313026,0.602801224,0.602801224
Guinea-Bissau,GNB,0.661979436,0.706855307,0.69925748,0.737335345,0.681395856,0.703373886,0.672540551,0.694164625,0.692962662,0.693517664,0.696784243,0.702994166,0.705937535,0.717832109,0.683682134,0.692176208,0.71843301,0.71843301
Guyana,GUY,0.367410826,0.367529676,0.369857543,0.366500153,0.365662855,0.36326277,0.366094808,0.36627137,0.370212185,0.399020712,0.436440145,0.411676416,0.421380321,0.423485792,0.409443931,0.399979482,0.387662788,0.387662788
Haiti,HTI,0.584730439,0.559782199,0.57442761,0.560007548,0.535789505,0.523842858,0.519131973,0.512825444,0.50385955,0.51987936,0.528414374,0.52212805,0.545672328,0.538811255,0.536116719,0.533247234,0.516362231,0.516362231
Honduras,HND,0.362469529,0.362622195,0.354655902,0.35504525,0.356568206,0.339098911,0.333411653,0.331928809,0.334233309,0.334894405,0.337615163,0.338095587,0.329345897,0.334476322,0.328090439,0.325273478,0.321655144,0.321655144
Hungary,HUN,0.271096319,0.269100298,0.267696253,0.266680881,0.266115239,0.263605224,0.259819413,0.259041862,0.25918861,0.258738448,0.259450891,0.258807241,0.261816222,0.275113332,0.272219709,0.268992756,0.266822024,0.266822024
Iceland,ISL,0.110045852,0.106041912,0.102990817,0.100574682,0.100052855,0.099018833,0.094215808,0.093494083,0.091943089,0.091601527,0.078310859,0.067862222,0.055216832,0.043034855,0.045904992,0.182950124,0.050915622,0.050915622
India,IND,0.49591928,0.488718594,0.485544385,0.480112761,0.473940888,0.467058191,0.464658507,0.455802143,0.453730501,0.448065342,0.44149571,0.43836591,0.435477027,0.432957989,0.428381953,0.425086785,0.423485975,0.423485975
Indonesia,IDN,0.377769105,0.373787173,0.369833449,0.36590477,0.361999344,0.358132208,0.355276098,0.354072835,0.351865434,0.347098091,0.342006189,0.337373534,0.330491491,0.32798309,0.324948546,0.322079665,0.320710637,0.320710637
Iran :Islamic Republic of,IRN,0.260851214,0.257999182,0.254487871,0.251125093,0.250477294,0.249750364,0.249596936,0.249397209,0.249121,0.249275877,0.242106741,0.240444266,0.239238533,0.238112494,0.237014151,0.235912111,0.235118801,0.235118801
Iraq,IRQ,0.399869639,0.399208879,0.397255462,0.492531295,0.452088333,0.416917147,0.415239448,0.425214315,0.421787426,0.403782835,0.408088069,0.444703166,0.428978404,0.405112483,0.403056354,0.39882209,0.396823092,0.396823092
Ireland,IRL,0.073634043,0.072957666,0.072381695,0.070334992,0.069446013,0.069261098,0.064525393,0.062797005,0.059121463,0.055779254,0.054770378,0.05390473,0.073579082,0.072085575,0.069957601,0.0669597,0.068293034,0.068293034
Israel,ISR,0.14372487,0.141134796,0.140428185,0.140254613,0.137386461,0.13762674,0.133599873,0.134365981,0.133908557,0.133265392,0.133530418,0.118189377,0.118799769,0.134451125,0.134192343,0.135762042,0.143688931,0.143688931
Italy,ITA,0.117226718,0.113485787,0.113814775,0.113138072,0.110455678,0.108439951,0.104439205,0.103950655,0.10811251,0.104088025,0.107944678,0.109447368,0.116378591,0.123488683,0.140412105,0.154511462,0.15334073,0.15334073
Jamaica,JAM,0.345508781,0.331394012,0.321212256,0.323010828,0.324413732,0.324256814,0.327454692,0.323353766,0.324571682,0.326188693,0.328240113,0.329162307,0.331510698,0.33223502,0.331861217,0.32959536,0.330073291,0.330073291
Japan,JPN,0.278143727,0.275934088,0.274524449,0.273603426,0.273375901,0.271694716,0.269860689,0.268675444,0.339529933,0.338409072,0.357216414,0.372251445,0.299555832,0.298746658,0.376282675,0.297867825,0.298706036,0.298706036
Jordan,JOR,0.235466322,0.233957677,0.232164426,0.228993657,0.229263067,0.228460581,0.226540406,0.222694383,0.22210934,0.225126926,0.220016656,0.217560495,0.213213828,0.210833254,0.207232827,0.203989743,0.202468575,0.202468575
Kazakhstan,KAZ,0.315566708,0.317043483,0.319618514,0.315771582,0.319435457,0.326301433,0.313811641,0.31011243,0.310200168,0.309457559,0.307061069,0.303770645,0.302373633,0.300525769,0.292029733,0.290516581,0.292013436,0.292013436
Kenya,KEN,0.578103666,0.586220308,0.5932146,0.592335562,0.598260411,0.59188699,0.602516009,0.604449328,0.59396938,0.602617878,0.606814995,0.599499169,0.603341119,0.599336749,0.604991145,0.606543567,0.606388955,0.606388955
